week_end,geography,pathogen,demographics_type,demographics_values,percent_visits
2024-05-25,United States,COVID-19,Sex,Other,0
2024-05-25,United States,COVID-19,Sex,Female,0.4
2024-05-25,United States,COVID-19,Age Group,18-64 years,0.3
2024-05-25,United States,COVID-19,Age Group,65+ years,0.7
2024-05-25,United States,COVID-19,Age Group,5-17 years,0.2
2024-05-25,United States,COVID-19,Age Group,0-4 years,0.6
2024-05-25,United States,COVID-19,Race/Ethnicity,Hispanic,0.5
2024-05-25,United States,COVID-19,Race/Ethnicity,"Multiple/Other, NH",0.4
2024-05-25,United States,COVID-19,Race/Ethnicity,"White, NH",0.4
2024-05-25,United States,COVID-19,Race/Ethnicity,"Asian/NHOPI, NH",0.9
2024-05-25,United States,COVID-19,Race/Ethnicity,"AI/AN, NH",0.4
2024-05-25,United States,COVID-19,Race/Ethnicity,"Black, NH",0.4
2024-04-20,United States,COVID-19,Sex,Male,0.4
2024-04-20,United States,COVID-19,Sex,Invalid,0
2024-04-20,United States,COVID-19,Sex,Other,0
2024-04-20,United States,COVID-19,Sex,Female,0.4
2024-04-20,United States,COVID-19,Age Group,18-64 years,0.3
2024-04-20,United States,COVID-19,Age Group,65+ years,0.6
2024-04-20,United States,COVID-19,Age Group,5-17 years,0.2
2024-04-20,United States,COVID-19,Age Group,0-4 years,0.6
2024-04-20,United States,COVID-19,Race/Ethnicity,Hispanic,0.3
2024-04-20,United States,COVID-19,Race/Ethnicity,"Multiple/Other, NH",0.3
2024-04-20,United States,COVID-19,Race/Ethnicity,"White, NH",0.4
2024-04-20,United States,COVID-19,Race/Ethnicity,"Asian/NHOPI, NH",0.5
2024-04-20,United States,COVID-19,Race/Ethnicity,"AI/AN, NH",0.4
2024-04-20,United States,COVID-19,Race/Ethnicity,"Black, NH",0.3
2023-11-25,United States,COVID-19,Sex,Male,1.8
2023-11-25,United States,COVID-19,Sex,Invalid,0.1
2023-11-25,United States,COVID-19,Sex,Other,0
2023-11-25,United States,COVID-19,Sex,Female,2
2023-11-25,United States,COVID-19,Age Group,18-64 years,1.5
2023-11-25,United States,COVID-19,Age Group,65+ years,3.1
2023-11-25,United States,COVID-19,Age Group,5-17 years,0.7
2023-11-25,United States,COVID-19,Age Group,0-4 years,2.2
2023-11-25,United States,COVID-19,Race/Ethnicity,Hispanic,1.5
2023-11-25,United States,COVID-19,Race/Ethnicity,"Multiple/Other, NH",1.5
2023-11-25,United States,COVID-19,Race/Ethnicity,"White, NH",2.2
2023-11-25,United States,COVID-19,Race/Ethnicity,"Asian/NHOPI, NH",2
2023-11-25,United States,COVID-19,Race/Ethnicity,"AI/AN, NH",2.1
2023-11-25,United States,COVID-19,Race/Ethnicity,"Black, NH",1.4
2023-07-29,United States,COVID-19,Sex,Male,1
2023-07-29,United States,COVID-19,Sex,Invalid,0
2023-07-29,United States,COVID-19,Sex,Other,0
2023-07-29,United States,COVID-19,Sex,Female,1.1
2023-07-29,United States,COVID-19,Age Group,18-64 years,0.9
2023-07-29,United States,COVID-19,Age Group,65+ years,1.4
2023-07-29,United States,COVID-19,Age Group,5-17 years,0.6
2023-07-29,United States,COVID-19,Age Group,0-4 years,1.9
2023-07-29,United States,COVID-19,Race/Ethnicity,Hispanic,1.3
2023-07-29,United States,COVID-19,Race/Ethnicity,"Multiple/Other, NH",1
2023-07-29,United States,COVID-19,Race/Ethnicity,"White, NH",0.9
2023-07-29,United States,COVID-19,Race/Ethnicity,"Asian/NHOPI, NH",1.5
2023-07-29,United States,COVID-19,Race/Ethnicity,"AI/AN, NH",0.9
2023-07-29,United States,COVID-19,Race/Ethnicity,"Black, NH",1.2
2023-06-24,United States,COVID-19,Sex,Male,0.5
2023-06-24,United States,COVID-19,Sex,Invalid,0
2023-06-24,United States,COVID-19,Sex,Other,0
2023-06-24,United States,COVID-19,Sex,Female,0.5
2023-06-24,United States,COVID-19,Age Group,18-64 years,0.4
2023-06-24,United States,COVID-19,Age Group,65+ years,0.8
2023-06-24,United States,COVID-19,Age Group,5-17 years,0.2
2023-06-24,United States,COVID-19,Age Group,0-4 years,0.7
2023-06-24,United States,COVID-19,Race/Ethnicity,Hispanic,0.6
2023-06-24,United States,COVID-19,Race/Ethnicity,"Multiple/Other, NH",0.4
2023-06-24,United States,COVID-19,Race/Ethnicity,"White, NH",0.5
2023-06-24,United States,COVID-19,Race/Ethnicity,"Asian/NHOPI, NH",1
2023-06-24,United States,COVID-19,Race/Ethnicity,"AI/AN, NH",0.6
2023-06-24,United States,COVID-19,Race/Ethnicity,"Black, NH",0.5
2023-11-18,United States,COVID-19,Sex,Male,1.5
2023-11-18,United States,COVID-19,Sex,Invalid,0.1
2023-11-18,United States,COVID-19,Sex,Other,0
2023-11-18,United States,COVID-19,Sex,Female,1.7
2023-11-18,United States,COVID-19,Age Group,18-64 years,1.3
2023-11-18,United States,COVID-19,Age Group,65+ years,2.6
2023-11-18,United States,COVID-19,Age Group,5-17 years,0.7
2023-11-18,United States,COVID-19,Age Group,0-4 years,1.9
2023-11-18,United States,COVID-19,Race/Ethnicity,Hispanic,1.4
2023-11-18,United States,COVID-19,Race/Ethnicity,"Multiple/Other, NH",1.2
2023-11-18,United States,COVID-19,Race/Ethnicity,"White, NH",1.9
2023-11-18,United States,COVID-19,Race/Ethnicity,"Asian/NHOPI, NH",1.7
2023-11-18,United States,COVID-19,Race/Ethnicity,"AI/AN, NH",2.3
2023-11-18,United States,COVID-19,Race/Ethnicity,"Black, NH",1.3
2023-03-04,United States,COVID-19,Sex,Male,1.5
2023-03-04,United States,COVID-19,Sex,Invalid,0.1
2023-03-04,United States,COVID-19,Sex,Other,10.5
2023-03-04,United States,COVID-19,Sex,Female,1.6
2023-03-04,United States,COVID-19,Age Group,18-64 years,1.2
2023-03-04,United States,COVID-19,Age Group,65+ years,2.6
2023-03-04,United States,COVID-19,Age Group,5-17 years,0.6
2023-03-04,United States,COVID-19,Age Group,0-4 years,1.7
2023-03-04,United States,COVID-19,Race/Ethnicity,Hispanic,1.3
2023-03-04,United States,COVID-19,Race/Ethnicity,"Multiple/Other, NH",1.3
2023-03-04,United States,COVID-19,Race/Ethnicity,"White, NH",1.7
2023-03-04,United States,COVID-19,Race/Ethnicity,"Asian/NHOPI, NH",1.8
2023-03-04,United States,COVID-19,Race/Ethnicity,"AI/AN, NH",2
2023-03-04,United States,COVID-19,Race/Ethnicity,"Black, NH",1.3
2023-04-29,United States,COVID-19,Sex,Male,0.7
2023-04-29,United States,COVID-19,Sex,Invalid,0
2023-04-29,United States,COVID-19,Sex,Other,0
2023-04-29,United States,COVID-19,Sex,Female,0.7
2023-04-29,United States,COVID-19,Age Group,18-64 years,0.6
2023-04-29,United States,COVID-19,Age Group,65+ years,1.2
2023-04-29,United States,COVID-19,Age Group,5-17 years,0.3
2023-04-29,United States,COVID-19,Age Group,0-4 years,0.8
2023-04-29,United States,COVID-19,Race/Ethnicity,Hispanic,0.7
2023-04-29,United States,COVID-19,Race/Ethnicity,"Multiple/Other, NH",0.6
2023-04-29,United States,COVID-19,Race/Ethnicity,"White, NH",0.7
2023-04-29,United States,COVID-19,Race/Ethnicity,"Asian/NHOPI, NH",1.1
2023-04-29,United States,COVID-19,Race/Ethnicity,"AI/AN, NH",1.1
2023-04-29,United States,COVID-19,Race/Ethnicity,"Black, NH",0.5
2023-11-04,United States,COVID-19,Sex,Male,1.2
2023-11-04,United States,COVID-19,Sex,Invalid,0.1
2023-11-04,United States,COVID-19,Sex,Other,0
2023-11-04,United States,COVID-19,Sex,Female,1.4
2023-11-04,United States,COVID-19,Age Group,18-64 years,1.1
2023-11-04,United States,COVID-19,Age Group,65+ years,2.2
2023-11-04,United States,COVID-19,Age Group,5-17 years,0.6
2023-11-04,United States,COVID-19,Age Group,0-4 years,1.7
2023-11-04,United States,COVID-19,Race/Ethnicity,Hispanic,1.2
2023-11-04,United States,COVID-19,Race/Ethnicity,"Multiple/Other, NH",1
2023-11-04,United States,COVID-19,Race/Ethnicity,"White, NH",1.5
2023-11-04,United States,COVID-19,Race/Ethnicity,"Asian/NHOPI, NH",1.6
2023-11-04,United States,COVID-19,Race/Ethnicity,"AI/AN, NH",2.1
2023-11-04,United States,COVID-19,Race/Ethnicity,"Black, NH",1
2024-06-15,United States,COVID-19,Sex,Male,0.7
2024-06-15,United States,COVID-19,Sex,Invalid,2.4
2024-06-15,United States,COVID-19,Sex,Other,0
2024-06-15,United States,COVID-19,Sex,Female,0.7
2024-06-15,United States,COVID-19,Age Group,18-64 years,0.6
2024-06-15,United States,COVID-19,Age Group,65+ years,1.1
2024-06-15,United States,COVID-19,Age Group,5-17 years,0.3
2024-06-15,United States,COVID-19,Age Group,0-4 years,1.1
2024-06-15,United States,COVID-19,Race/Ethnicity,Hispanic,0.8
2024-06-15,United States,COVID-19,Race/Ethnicity,"Multiple/Other, NH",0.7
2024-06-15,United States,COVID-19,Race/Ethnicity,"White, NH",0.6
2024-06-15,United States,COVID-19,Race/Ethnicity,"Asian/NHOPI, NH",1.6
2024-06-15,United States,COVID-19,Race/Ethnicity,"AI/AN, NH",0.8
2024-06-15,United States,COVID-19,Race/Ethnicity,"Black, NH",0.6
2024-04-06,United States,COVID-19,Sex,Male,0.5
2024-04-06,United States,COVID-19,Sex,Invalid,0
2024-04-06,United States,COVID-19,Sex,Other,0
2024-04-06,United States,COVID-19,Sex,Female,0.6
2024-04-06,United States,COVID-19,Age Group,18-64 years,0.4
2024-04-06,United States,COVID-19,Age Group,65+ years,0.9
2024-04-06,United States,COVID-19,Age Group,5-17 years,0.2
2024-04-06,United States,COVID-19,Age Group,0-4 years,0.8
2024-04-06,United States,COVID-19,Race/Ethnicity,Hispanic,0.5
2024-04-06,United States,COVID-19,Race/Ethnicity,"Multiple/Other, NH",0.4
2024-04-06,United States,COVID-19,Race/Ethnicity,"White, NH",0.6
2024-04-06,United States,COVID-19,Race/Ethnicity,"Asian/NHOPI, NH",0.6
2024-04-06,United States,COVID-19,Race/Ethnicity,"AI/AN, NH",0.5
2024-04-06,United States,COVID-19,Race/Ethnicity,"Black, NH",0.5
2024-04-27,United States,COVID-19,Sex,Male,0.3
2024-04-27,United States,COVID-19,Sex,Invalid,0
2024-04-27,United States,COVID-19,Sex,Other,0
2024-04-27,United States,COVID-19,Sex,Female,0.4
2024-04-27,United States,COVID-19,Age Group,18-64 years,0.3
2024-04-27,United States,COVID-19,Age Group,65+ years,0.6
2024-04-27,United States,COVID-19,Age Group,5-17 years,0.2
2024-04-27,United States,COVID-19,Age Group,0-4 years,0.5
2024-04-27,United States,COVID-19,Race/Ethnicity,Hispanic,0.3
2024-04-27,United States,COVID-19,Race/Ethnicity,"Multiple/Other, NH",0.3
2024-04-27,United States,COVID-19,Race/Ethnicity,"White, NH",0.4
2024-04-27,United States,COVID-19,Race/Ethnicity,"Asian/NHOPI, NH",0.6
2024-04-27,United States,COVID-19,Race/Ethnicity,"AI/AN, NH",0.3
2024-04-27,United States,COVID-19,Race/Ethnicity,"Black, NH",0.3
2023-05-20,United States,COVID-19,Sex,Male,0.6
2023-05-20,United States,COVID-19,Sex,Invalid,0
2023-05-20,United States,COVID-19,Sex,Other,0
2023-05-20,United States,COVID-19,Sex,Female,0.6
2023-05-20,United States,COVID-19,Age Group,18-64 years,0.5
2023-05-20,United States,COVID-19,Age Group,65+ years,1.1
2023-05-20,United States,COVID-19,Age Group,5-17 years,0.2
2023-05-20,United States,COVID-19,Age Group,0-4 years,0.7
2023-05-20,United States,COVID-19,Race/Ethnicity,Hispanic,0.6
2023-05-20,United States,COVID-19,Race/Ethnicity,"Multiple/Other, NH",0.5
2023-05-20,United States,COVID-19,Race/Ethnicity,"White, NH",0.6
2023-05-20,United States,COVID-19,Race/Ethnicity,"Asian/NHOPI, NH",1.1
2023-05-20,United States,COVID-19,Race/Ethnicity,"AI/AN, NH",0.7
2023-05-20,United States,COVID-19,Race/Ethnicity,"Black, NH",0.5
2023-01-28,United States,COVID-19,Sex,Male,2.1
2023-01-28,United States,COVID-19,Sex,Invalid,0.1
2023-01-28,United States,COVID-19,Sex,Other,4.2
2023-01-28,United States,COVID-19,Sex,Female,2.2
2023-01-28,United States,COVID-19,Age Group,18-64 years,1.8
2023-01-28,United States,COVID-19,Age Group,65+ years,3.1
2023-01-28,United States,COVID-19,Age Group,5-17 years,1.4
2023-01-28,United States,COVID-19,Age Group,0-4 years,3
2023-01-28,United States,COVID-19,Race/Ethnicity,Hispanic,2.1
2023-01-28,United States,COVID-19,Race/Ethnicity,"Multiple/Other, NH",1.9
2023-01-28,United States,COVID-19,Race/Ethnicity,"White, NH",2.2
2023-01-28,United States,COVID-19,Race/Ethnicity,"Asian/NHOPI, NH",2.6
2023-01-28,United States,COVID-19,Race/Ethnicity,"AI/AN, NH",1.7
2023-01-28,United States,COVID-19,Race/Ethnicity,"Black, NH",2.2
2023-04-01,United States,COVID-19,Sex,Male,1.1
2023-04-01,United States,COVID-19,Sex,Invalid,0.1
2023-04-01,United States,COVID-19,Sex,Other,0
2023-04-01,United States,COVID-19,Sex,Female,1.1
2023-04-01,United States,COVID-19,Age Group,18-64 years,0.9
2023-04-01,United States,COVID-19,Age Group,65+ years,1.9
2023-04-01,United States,COVID-19,Age Group,5-17 years,0.5
2023-04-01,United States,COVID-19,Age Group,0-4 years,1.3
2023-04-01,United States,COVID-19,Race/Ethnicity,Hispanic,1
2023-04-01,United States,COVID-19,Race/Ethnicity,"Multiple/Other, NH",0.9
2023-04-01,United States,COVID-19,Race/Ethnicity,"White, NH",1.2
2023-04-01,United States,COVID-19,Race/Ethnicity,"Asian/NHOPI, NH",1.5
2023-04-01,United States,COVID-19,Race/Ethnicity,"AI/AN, NH",1.7
2023-04-01,United States,COVID-19,Race/Ethnicity,"Black, NH",0.9
2024-08-03,United States,COVID-19,Sex,Male,2.1
2024-08-03,United States,COVID-19,Sex,Invalid,0
2024-08-03,United States,COVID-19,Sex,Other,0
2024-08-03,United States,COVID-19,Sex,Female,2.5
2024-08-03,United States,COVID-19,Age Group,18-64 years,1.9
2024-08-03,United States,COVID-19,Age Group,65+ years,3.1
2024-08-03,United States,COVID-19,Age Group,5-17 years,1.4
2024-08-03,United States,COVID-19,Age Group,0-4 years,5.4
2024-08-03,United States,COVID-19,Race/Ethnicity,Hispanic,2.9
2024-08-03,United States,COVID-19,Race/Ethnicity,"Multiple/Other, NH",2.2
2024-08-03,United States,COVID-19,Race/Ethnicity,"White, NH",2.1
2024-08-03,United States,COVID-19,Race/Ethnicity,"Asian/NHOPI, NH",2.8
2024-08-03,United States,COVID-19,Race/Ethnicity,"AI/AN, NH",2.2
2024-08-03,United States,COVID-19,Race/Ethnicity,"Black, NH",2.8
2022-12-17,United States,COVID-19,Sex,Male,2.8
2022-12-17,United States,COVID-19,Sex,Invalid,0.1
2022-12-17,United States,COVID-19,Sex,Other,0
2022-12-17,United States,COVID-19,Sex,Female,3
2022-12-17,United States,COVID-19,Age Group,18-64 years,2.5
2022-12-17,United States,COVID-19,Age Group,65+ years,4.6
2022-12-17,United States,COVID-19,Age Group,5-17 years,1.4
2022-12-17,United States,COVID-19,Age Group,0-4 years,3
2022-12-17,United States,COVID-19,Race/Ethnicity,Hispanic,2.8
2022-12-17,United States,COVID-19,Race/Ethnicity,"Multiple/Other, NH",2.7
2022-12-17,United States,COVID-19,Race/Ethnicity,"White, NH",3.1
2022-12-17,United States,COVID-19,Race/Ethnicity,"Asian/NHOPI, NH",3.3
2022-12-17,United States,COVID-19,Race/Ethnicity,"AI/AN, NH",2.7
2022-12-17,United States,COVID-19,Race/Ethnicity,"Black, NH",2.7
2023-05-13,United States,COVID-19,Sex,Male,0.6
2023-05-13,United States,COVID-19,Sex,Invalid,0.1
2023-05-13,United States,COVID-19,Sex,Other,0
2023-05-13,United States,COVID-19,Sex,Female,0.7
2023-05-13,United States,COVID-19,Age Group,18-64 years,0.5
2023-05-13,United States,COVID-19,Age Group,65+ years,1.1
2023-05-13,United States,COVID-19,Age Group,5-17 years,0.3
2023-05-13,United States,COVID-19,Age Group,0-4 years,0.7
2023-05-13,United States,COVID-19,Race/Ethnicity,Hispanic,0.6
2023-05-13,United States,COVID-19,Race/Ethnicity,"Multiple/Other, NH",0.5
2023-05-13,United States,COVID-19,Race/Ethnicity,"White, NH",0.7
2023-05-13,United States,COVID-19,Race/Ethnicity,"Asian/NHOPI, NH",1
2023-05-13,United States,COVID-19,Race/Ethnicity,"AI/AN, NH",0.7
2023-05-13,United States,COVID-19,Race/Ethnicity,"Black, NH",0.5
2024-04-13,United States,COVID-19,Sex,Male,0.4
2024-04-13,United States,COVID-19,Sex,Invalid,0.1
2024-04-13,United States,COVID-19,Sex,Other,0
2024-04-13,United States,COVID-19,Sex,Female,0.5
2024-04-13,United States,COVID-19,Age Group,18-64 years,0.3
2024-04-13,United States,COVID-19,Age Group,65+ years,0.7
2024-04-13,United States,COVID-19,Age Group,5-17 years,0.2
2024-04-13,United States,COVID-19,Age Group,0-4 years,0.7
2024-04-13,United States,COVID-19,Race/Ethnicity,Hispanic,0.4
2024-04-13,United States,COVID-19,Race/Ethnicity,"Multiple/Other, NH",0.4
2024-04-13,United States,COVID-19,Race/Ethnicity,"White, NH",0.5
2024-04-13,United States,COVID-19,Race/Ethnicity,"Asian/NHOPI, NH",0.5
2024-04-13,United States,COVID-19,Race/Ethnicity,"AI/AN, NH",0.4
2024-04-13,United States,COVID-19,Race/Ethnicity,"Black, NH",0.4
2023-02-18,United States,COVID-19,Sex,Male,1.8
2023-02-18,United States,COVID-19,Sex,Invalid,0.1
2023-02-18,United States,COVID-19,Sex,Other,5.3
2023-02-18,United States,COVID-19,Sex,Female,1.9
2023-02-18,United States,COVID-19,Age Group,18-64 years,1.5
2023-02-18,United States,COVID-19,Age Group,65+ years,3
2023-02-18,United States,COVID-19,Age Group,5-17 years,0.9
2023-02-18,United States,COVID-19,Age Group,0-4 years,2.1
2023-02-18,United States,COVID-19,Race/Ethnicity,Hispanic,1.6
2023-02-18,United States,COVID-19,Race/Ethnicity,"Multiple/Other, NH",1.5
2023-02-18,United States,COVID-19,Race/Ethnicity,"White, NH",2
2023-02-18,United States,COVID-19,Race/Ethnicity,"Asian/NHOPI, NH",2.1
2023-02-18,United States,COVID-19,Race/Ethnicity,"AI/AN, NH",2.1
2023-02-18,United States,COVID-19,Race/Ethnicity,"Black, NH",1.7
2022-12-10,United States,COVID-19,Sex,Male,2.6
2022-12-10,United States,COVID-19,Sex,Invalid,0.1
2022-12-10,United States,COVID-19,Sex,Other,7.1
2022-12-10,United States,COVID-19,Sex,Female,2.8
2022-12-10,United States,COVID-19,Age Group,18-64 years,2.4
2022-12-10,United States,COVID-19,Age Group,65+ years,4.3
2022-12-10,United States,COVID-19,Age Group,5-17 years,1.2
2022-12-10,United States,COVID-19,Age Group,0-4 years,2.7
2022-12-10,United States,COVID-19,Race/Ethnicity,Hispanic,2.6
2022-12-10,United States,COVID-19,Race/Ethnicity,"Multiple/Other, NH",2.6
2022-12-10,United States,COVID-19,Race/Ethnicity,"White, NH",2.9
2022-12-10,United States,COVID-19,Race/Ethnicity,"Asian/NHOPI, NH",3.5
2022-12-10,United States,COVID-19,Race/Ethnicity,"AI/AN, NH",2.7
2022-12-10,United States,COVID-19,Race/Ethnicity,"Black, NH",2.4
2023-07-22,United States,COVID-19,Sex,Male,0.8
2023-07-22,United States,COVID-19,Sex,Invalid,0.1
2023-07-22,United States,COVID-19,Sex,Other,0
2023-07-22,United States,COVID-19,Sex,Female,0.9
2023-07-22,United States,COVID-19,Age Group,18-64 years,0.7
2023-07-22,United States,COVID-19,Age Group,65+ years,1.2
2023-07-22,United States,COVID-19,Age Group,5-17 years,0.4
2023-07-22,United States,COVID-19,Age Group,0-4 years,1.4
2023-07-22,United States,COVID-19,Race/Ethnicity,Hispanic,1
2023-07-22,United States,COVID-19,Race/Ethnicity,"Multiple/Other, NH",0.7
2023-07-22,United States,COVID-19,Race/Ethnicity,"White, NH",0.7
2023-07-22,United States,COVID-19,Race/Ethnicity,"Asian/NHOPI, NH",1.2
2023-07-22,United States,COVID-19,Race/Ethnicity,"AI/AN, NH",0.8
2023-07-22,United States,COVID-19,Race/Ethnicity,"Black, NH",0.9
2023-03-25,United States,COVID-19,Sex,Male,1.1
2023-03-25,United States,COVID-19,Sex,Invalid,0.1
2023-03-25,United States,COVID-19,Sex,Other,0
2023-03-25,United States,COVID-19,Sex,Female,1.2
2023-03-25,United States,COVID-19,Age Group,18-64 years,0.9
2023-03-25,United States,COVID-19,Age Group,65+ years,2
2023-03-25,United States,COVID-19,Age Group,5-17 years,0.5
2023-03-25,United States,COVID-19,Age Group,0-4 years,1.4
2023-03-25,United States,COVID-19,Race/Ethnicity,Hispanic,1
2023-03-25,United States,COVID-19,Race/Ethnicity,"Multiple/Other, NH",0.9
2023-03-25,United States,COVID-19,Race/Ethnicity,"White, NH",1.3
2023-03-25,United States,COVID-19,Race/Ethnicity,"Asian/NHOPI, NH",1.6
2023-03-25,United States,COVID-19,Race/Ethnicity,"AI/AN, NH",1.6
2023-03-25,United States,COVID-19,Race/Ethnicity,"Black, NH",0.9
2024-02-17,United States,COVID-19,Sex,Male,1.7
2024-02-17,United States,COVID-19,Sex,Invalid,0.2
2024-02-17,United States,COVID-19,Sex,Other,0
2024-02-17,United States,COVID-19,Sex,Female,1.9
2024-02-17,United States,COVID-19,Age Group,18-64 years,1.4
2024-02-17,United States,COVID-19,Age Group,65+ years,2.5
2024-02-17,United States,COVID-19,Age Group,5-17 years,1.2
2024-02-17,United States,COVID-19,Age Group,0-4 years,2.9
2024-02-17,United States,COVID-19,Race/Ethnicity,Hispanic,1.7
2024-02-17,United States,COVID-19,Race/Ethnicity,"Multiple/Other, NH",1.4
2024-02-17,United States,COVID-19,Race/Ethnicity,"White, NH",1.8
2024-02-17,United States,COVID-19,Race/Ethnicity,"Asian/NHOPI, NH",1.7
2024-02-17,United States,COVID-19,Race/Ethnicity,"AI/AN, NH",1.7
2024-02-17,United States,COVID-19,Race/Ethnicity,"Black, NH",2
2023-05-27,United States,COVID-19,Sex,Male,0.5
2023-05-27,United States,COVID-19,Sex,Invalid,0
2023-05-27,United States,COVID-19,Sex,Other,0
2023-05-27,United States,COVID-19,Sex,Female,0.6
2023-05-27,United States,COVID-19,Age Group,18-64 years,0.4
2023-05-27,United States,COVID-19,Age Group,65+ years,1
2023-05-27,United States,COVID-19,Age Group,5-17 years,0.2
2023-05-27,United States,COVID-19,Age Group,0-4 years,0.7
2023-05-27,United States,COVID-19,Race/Ethnicity,Hispanic,0.6
2023-05-27,United States,COVID-19,Race/Ethnicity,"Multiple/Other, NH",0.5
2023-05-27,United States,COVID-19,Race/Ethnicity,"White, NH",0.6
2023-05-27,United States,COVID-19,Race/Ethnicity,"Asian/NHOPI, NH",0.9
2023-05-27,United States,COVID-19,Race/Ethnicity,"AI/AN, NH",0.6
2023-05-27,United States,COVID-19,Race/Ethnicity,"Black, NH",0.5
2022-10-15,United States,COVID-19,Sex,Male,1.6
2022-10-15,United States,COVID-19,Sex,Invalid,0
2022-10-15,United States,COVID-19,Sex,Other,0
2022-10-15,United States,COVID-19,Sex,Female,1.7
2022-10-15,United States,COVID-19,Age Group,18-64 years,1.4
2022-10-15,United States,COVID-19,Age Group,65+ years,2.9
2022-10-15,United States,COVID-19,Age Group,5-17 years,0.6
2022-10-15,United States,COVID-19,Age Group,0-4 years,1.3
2022-10-15,United States,COVID-19,Race/Ethnicity,Hispanic,1.2
2022-10-15,United States,COVID-19,Race/Ethnicity,"Multiple/Other, NH",1.5
2022-10-15,United States,COVID-19,Race/Ethnicity,"White, NH",2
2022-10-15,United States,COVID-19,Race/Ethnicity,"Asian/NHOPI, NH",2.1
2022-10-15,United States,COVID-19,Race/Ethnicity,"AI/AN, NH",1.7
2022-10-15,United States,COVID-19,Race/Ethnicity,"Black, NH",1.2
2024-02-10,United States,COVID-19,Sex,Male,1.8
2024-02-10,United States,COVID-19,Sex,Invalid,0.2
2024-02-10,United States,COVID-19,Sex,Other,0
2024-02-10,United States,COVID-19,Sex,Female,2.1
2024-02-10,United States,COVID-19,Age Group,18-64 years,1.6
2024-02-10,United States,COVID-19,Age Group,65+ years,2.6
2024-02-10,United States,COVID-19,Age Group,5-17 years,1.5
2024-02-10,United States,COVID-19,Age Group,0-4 years,3.2
2024-02-10,United States,COVID-19,Race/Ethnicity,Hispanic,2
2024-02-10,United States,COVID-19,Race/Ethnicity,"Multiple/Other, NH",1.6
2024-02-10,United States,COVID-19,Race/Ethnicity,"White, NH",1.9
2024-02-10,United States,COVID-19,Race/Ethnicity,"Asian/NHOPI, NH",2
2024-02-10,United States,COVID-19,Race/Ethnicity,"AI/AN, NH",1.8
2024-02-10,United States,COVID-19,Race/Ethnicity,"Black, NH",2.1
2023-01-21,United States,COVID-19,Sex,Male,2.2
2023-01-21,United States,COVID-19,Sex,Invalid,0.1
2023-01-21,United States,COVID-19,Sex,Other,0
2023-01-21,United States,COVID-19,Sex,Female,2.4
2023-01-21,United States,COVID-19,Age Group,18-64 years,1.9
2023-01-21,United States,COVID-19,Age Group,65+ years,3.4
2023-01-21,United States,COVID-19,Age Group,5-17 years,1.4
2023-01-21,United States,COVID-19,Age Group,0-4 years,3.2
2023-01-21,United States,COVID-19,Race/Ethnicity,Hispanic,2.3
2023-01-21,United States,COVID-19,Race/Ethnicity,"Multiple/Other, NH",2
2023-01-21,United States,COVID-19,Race/Ethnicity,"White, NH",2.3
2023-01-21,United States,COVID-19,Race/Ethnicity,"Asian/NHOPI, NH",2.7
2023-01-21,United States,COVID-19,Race/Ethnicity,"AI/AN, NH",1.9
2023-01-21,United States,COVID-19,Race/Ethnicity,"Black, NH",2.4
